"id","title","test case id","author","assignee","actual result","status","milestone","severity","external issues","attachments","tags"
"40","Server returns 200 OK instead of 400 Bad Request while adding a new pet with a null value in category ""id"" field","55","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when a null value is passed in the category ""id"" field. Instead of rejecting the request, the server converts the null value into a default numeric value (0): 
{ ""id"": 192, 
""category"": { ""id"": 0, ""name"": ""cats"" }, 
""name"": ""InvalidCategoryTypePet"", 
""photoUrls"": [ ""[https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ { ""id"": 1, ""name"": ""test"" } ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that category ""id"" field is required and cannot be null","Open","","Normal","","",""
"39","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an integer value in category ""name"" field","52","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle an integer value passed in the ""name"" field of the ""category"" object and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that category ""name"" field must be a string","Open","","Major","","",""
"38","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an array instead of an object in ""category"" field","51","Anastasia Kozub","Unassigned","**Actual Result:** 
The server fails to handle a JSON array passed instead of a JSON object in the ""category"" field and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""category"" field must be an object","Open","","Major","","",""
"37","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with a boolean value instead of an object in ""category"" field","50","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle a boolean value passed instead of a JSON object in the ""category"" field and crashes with a 500 Internal Server Error code and a message: { ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""category"" field must be an object","Open","","Major","","",""
"36","Server returns 200 OK instead of 400 Bad Request while adding a new pet with an empty object in ""category"" field","49","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when an empty JSON object is passed in the ""category"" field. Instead of rejecting the request, the server automatically generates a default numeric value for the missing ""id"" field and omits the missing ""name"" field:
 { ""id"": 186, 
""category"": { ""id"": 0 }, 
""name"": ""EmptyObjectCategoryPet"", 
""photoUrls"": [ ""[https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ { ""id"": 1, ""name"": ""test"" } ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""category"" object cannot be empty","Open","","Normal","","",""
"35","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an empty string instead of an object in ""category"" field","48","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle an empty string value passed instead of a JSON object in the ""category"" field and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""category"" field must be an object","Open","","Major","","",""
"34","Server returns 200 OK instead of 400 Bad Request while adding a new pet with tag object containing only ""id"" field (missing ""name"")","47","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when a tag object with a missing ""name"" field is passed inside the ""tags"" array: 
{ ""id"": 184, 
""category"": { ""id"": 1, ""name"": ""Dogs"" }, 
""name"": ""OnlyTagIdPet"", 
""photoUrls"": [ ""[https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://plus.unsplash.com/premium_photo-1666777247416-ee7a95235559?q=80&w=687&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ { ""id"": 1 } ], 
""status"": ""available"" }

**Expected Result**: 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that tag ""name"" field is required and cannot be omitted","Open","","Normal","","",""
"33","Server returns 200 OK instead of 400 Bad Request while adding a new pet with an empty object inside ""tags"" array","46","Anastasia Kozub","Unassigned","**Actual Result**: The server successfully processes the request and returns a 200 OK status code when an empty JSON object is passed inside the ""tags"" array. Instead of rejecting the request, the server automatically generates a default numeric value 0 for the missing ""id"" field and omits the missing ""name"" field: 
{ ""id"": 183, 
""category"": { ""id"": 1, ""name"": ""Dogs"" }, 
""name"": ""EmptyObjectInTagsPet"", 
""photoUrls"": [ ""[https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ { ""id"": 0 } ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that objects inside the ""tags"" array cannot be empty and must contain required fields","Open","","Not set","","",""
"32","Server returns 200 OK instead of 400 Bad Request while adding a new pet with an integer value in tag ""name"" field inside ""tags"" array","45","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when an integer value is passed in the tag ""name"" field. Instead of rejecting the request, the server converts the integer into a text string:
{ ""id"": 182, 
""category"": { ""id"": 1, ""name"": ""Dogs"" }, 
""name"": ""IntegerNameInTagPet"", 
""photoUrls"": [ ""[https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ { ""id"": 1, ""name"": ""12345"" } ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that tag ""name"" field must be a string type","Open","","Normal","","",""
"31","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with a string value in tag ""id"" field inside ""tags"" array","44","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle a string value passed in the numeric ""id"" field of a tag object inside the ""tags"" array, crashing with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that tag ""id"" field must be an integer","Open","","Major","","",""
"30","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an empty string element inside ""tags"" array","43","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to process an empty string value passed as an element inside the ""tags"" array instead of a JSON object, crashing with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that elements inside the ""tags"" array must be valid objects and cannot be strings","Open","","Not set","","",""
"29","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an empty string instead of an array in ""tags"" field","42","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle an empty string value passed instead of a JSON array in the ""tags"" field and crashes with a 500 Internal Server Error code and a message: { ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""tags"" field must be an array of objects","Open","","Not set","","",""
"28","Server returns 200 OK instead of 400 Bad Request while adding a new pet with a null element inside ""tags"" array","41","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when a null value is passed as an element inside the ""tags"" array. The object is created with a corrupted array structure:
{ ""id"": 178, 
""category"": { ""id"": 1, ""name"": ""Dogs"" }, 
""name"": ""NullInsideTagsArrayPet"", 
""photoUrls"": [ ""[https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"" ], 
""tags"": [ null ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that elements inside the ""tags"" array must be valid objects and cannot be null","Open","","Major","","",""
"27","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with a JSON object inside ""photoUrls"" array","40","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to process a JSON object passed as an element inside the ""photoUrls"" array and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array containing only string types","Open","","Major","","",""
"26","Server returns 200 OK instead of 400 Bad Request while adding a new pet with mixed data types in ""photoUrls"" array","39","Anastasia Kozub","Unassigned","**Actual Result:** The server successfully processes the request and returns a 200 OK status code when numeric (123) and boolean (true) values are passed inside the ""photoUrls"" array. Instead of rejecting the request, the server converts these non-string types into text strings (""123"", ""true""):
{ ""id"": 176, 
""category"": { ""id"": 1, ""name"": ""Dogs"" }, 
""name"": ""MixedTypesPhotoUrlsPet"", 
""photoUrls"": [ ""[https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D](https://images.unsplash.com/photo-1503256207526-0d5d80fa2f47?q=80&w=686&auto=format&fit=crop&ixlib=rb-4.1.0&ixid=M3wxMjA3fDB8MHxwaG90by1wYWdlfHx8fGVufDB8fHx8fA%3D%3D)"", ""123"", ""true"" ], 
""tags"": [ { ""id"": 1, ""name"": ""test"" } ], 
""status"": ""available"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array containing only string types","Open","","Normal","","",""
"25","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with a boolean value instead of an array in ""photoUrls"" field","38","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle a boolean value (true) passed instead of a JSON array in the ""photoUrls"" field and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array of strings","Open","","Not set","","",""
"24","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an empty string instead of an array in ""photoUrls"" field","37","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle an empty string value passed instead of a JSON array in the ""photoUrls"" field and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", ""message"": 
""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array of strings","Open","","Not set","","",""
"23","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an integer value instead of an array in ""photoUrls"" field","36","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle a numeric integer value passed instead of a JSON array in the ""photoUrls"" field and crashes with a 500 Internal Server Error code and a message: 
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array of strings","Open","","Major","","",""
"22","Server returns 500 Internal Server Error instead of 400 Bad Request while adding a new pet with an object value instead of an array in ""photoUrls"" field","35","Anastasia Kozub","Unassigned","**Actual Result:** The server fails to handle a JSON object passed instead of a JSON array in the ""photoUrls"" field and crashes with a 500 Internal Server Error code and a message
{ ""code"": 500, 
""type"": ""unknown"", 
""message"": ""something bad happened"" }

**Expected Result:** 

* Status Code: 400 Bad Request 
* Pet is not created 
* Response body contains validation error indicating that ""photoUrls"" field must be an array of strings","Open","","Major","","",""
